Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,DateOfResignation
36.0,Yes,travel_rarely,1211.0,,9.0,4.0,Life Sciences,1.0,37.0,3.0,Male,83.0,2.0,1,Sales Representative,1.0,Single,3688.0,7069.0,7.0,Y,No,23.0,4.0,2.0,80.0,0.0,10.0,4.0,3.0,5.0,3.0,21.0,3.0,
34.0,No,Travel_Rarely,420.0,Research & Development,7.0,4.0,Life Sciences,,-51.0,1.0,Female,51.0,3.0,3,ReTsearchDirector,2.0,Single,11975.0,20766.0,0.0,Y,No,11.0,3.0,3.0,80.0,0.0,13.0,4.0,3.0,12.0,6.0,2.0,11.0,
20.0,,Travel_Rarely,408.0,Rsearch & Development,15.0,2.0,Life Sciences,1.0,-23.0,3.0,Male,95.0,3.0,1,Research Scientist,4.0,,1147.0,18963.0,1.0,Y,No,14.0,,4.0,80.0,0.0,0.0,6.0,,0.0,0.0,0.0,0.0,11/25/2019 10:30
34.0,Yes,Travel_Rarely,698.0,Research & Development,6.0,1.0,Medical,1.0,33.0,,Male,84.0,3.0,1,Research Scientist,1.0,Single,3470.0,16685.0,2.0,Y,No,,3.0,3.0,80.0,0.0,8.0,2.0,3.0,4.0,2.0,1.0,3.0,9/28/2021 10:30
52.0,,Travel_Rarely,1263.0,Research & Development,5.0,3.0,Other,1.0,50.0,3.0,Female,58.0,3.0,5,Manager,3.0,Divorced,19605.0,10568.0,4.0,,No,11.0,3.0,4.0,80.0,1.0,26.0,3.0,2.0,15.0,13.0,4.0,8.0,8/14/2018 10:30
,Yes,Travel_Frequently,1135.0,Research & Development,16.0,1.0,Life Sciences,1.0,27.0,2.0,Female,73.0,1.0,1,Research Scientist,1.0,Single,3730.0,5066.0,1.0,Y,Yes,22.0,4.0,2.0,80.0,0.0,10.0,5.0,3.0,10.0,2.0,,7.0,3/1/2020 10:30
42.0,No,Travel_Rarely,694.0,Sales ,9.0,4.0,Marketing,1.0,38.0,3.0,Male,47.0,3.0,2,Sales Executive,2.0,Married,6812.0,21091.0,0.0,Y,No,11.0,3.0,4.0,80.0,1.0,10.0,2.0,3.0,9.0,7.0,4.0,2.0,
44.0,No,Travel_Rarely,490.0,Research & Development,6.0,4.0,Medical,1.0,12.0,1.0,Female,42.0,2.0,3,Healthcare Representative,4.0,Married,9788.0,1901.0,3.0,,No,14.0,3.0,4.0,80.0,1.0,24.0,4.0,3.0,23.0,6.0,5.0,17.0,
46.0,No,,716.0,Sales,2.0,,Marketing,1.0,41.0,2.0,Female,83.0,3.0,5,Manager,1.0,Single,19139.0,22494.0,3.0,Y,No,12.0,3.0,,80.0,0.0,22.0,2.0,2.0,2.0,2.0,2.0,1.0,
33.0,No,Travel_Rarely,908.0,Research & Development,1.0,3.0,Medical,1.0,21.0,3.0,Male,78.0,3.0,1,LaboratoryTechnician,4.0,Single,2344.0,6428.0,,Y,No,11.0,3.0,4.0,80.0,0.0,6.0,3.0,3.0,1.0,1.0,0.0,0.0,
44.0,No,Travel_Rarely ,1467.0,Research & Development,10.0,4.0,Other,1.0,37.0,4.0,Male,41.0,3.0,2,Healthcare Representative,4.0,,6448.0,18853.0,2.0,Y,Yes,13.0,3.0,4.0,80.0,0.0,9.0,5.0,4.0,4.0,2.0,1.0,3.0,
31.0,No,Travel_Rarely,121.0,Research & Dvelopment,9.0,,Medical,1.0,,4.0,Male,80.0,2.0,1,Laboratory Technician,3.0,Single,2265.0,16749.0,,Y,No,13.0,3.0,1.0,80.0,0.0,10.0,5.0,3.0,11.0,0.0,1.0,8.0,
40.0,Yes,Travel_Rarely,905.0,Sales,6.0,3.0,Technical Degree,1.0,58.0,4.0,Male,57.0,3.0,2,Sales Representative,4.0,Married,2094.0,4051.0,3.0,Y,No,14.0,3.0,3.0,80.0,1.0,19.0,6.0,4.0,1.0,0.0,0.0,0.0,3/4/2018 10:30
24.0,Yes,travel_rarely,,RESEARCH & DEVELOPMENT,,3.0,,1.0,-14.0,2.0,Male,60.0,,1,Research Scientist,4.0,Married,2106.0,2862.0,,Y,Yes,16.0,3.0,1.0,80.0,1.0,6.0,2.0,2.0,2.0,0.0,2.0,0.0,8/20/2019 10:30
43.0,No,Travel_Rarely,1290.0,Research & Development,2.0,2.0,Medical,1.0,45.0,4.0,Female,71.0,4.0,1,Research Scientist,3.0,Divorced,2412.0,22609.0,1.0,Y,No,12.0,3.0,4.0,80.0,2.0,6.0,3.0,2.0,5.0,3.0,1.0,4.0,
49.0,Yes,Travel_Rarely,877.0,Sales,3.0,2.0,Marketing,1.0,24.0,1.0,Male,86.0,2.0,1,Sales Representative,3.0,Married,2989.0,3508.0,1.0,Y,Yes,14.0,,3.0,80.0,0.0,3.0,2.0,3.0,3.0,2.0,0.0,2.0,12/5/2021 10:30
36.0,No,Travel_Rarely,929.0,Sales,2.0,3.0,Marketing,1.0,78.0,4.0,Female,96.0,3.0,1,Sales Representative,4.0,Married,1770.0,9947.0,1.0,Y,No,13.0,3.0,1.0,80.0,0.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,
36.0,No,Travel_Rarely,883.0,Research & Development,5.0,4.0,Life Sciences,1.0,35.0,2.0,Female,81.0,2.0,1,Research Scientist,1.0,Married,2948.0,13066.0,9.0,Y,Yes,14.0,3.0,4.0,80.0,1.0,6.0,3.0,4.0,,1.0,0.0,,
33.0,No,Travel_Frequently ,1126.0,Sales,2.0,3.0,Life Sciences,1.0,123.0,3.0,Female,43.0,4.0,2,Sales Executive,1.0,Married,5230.0,3248.0,2.0,Y,No,19.0,3.0,1.0,80.0,2.0,10.0,3.0,3.0,5.0,3.0,1.0,3.0,
35.0,No,Travel_Rarely,410.0,Research & Development,4.0,2.0,Other,,63.0,3.0,Male,76.0,3.0,1,Lacoratory Technician,4.0,Divorced,2073.0,11159.0,,Y,No,12.0,3.0,3.0,80.0,1.0,0.0,3.0,3.0,1.0,0.0,0.0,0.0,
27.0,No,travel_rarely,,Research & Development,,4.0,Life Sciences,1.0,77.0,4.0,Female,33.0,3.0,1,,1.0,Divorced,2370.0,19413.0,1.0,Y,No,13.0,3.0,4.0,,1.0,2.0,6.0,3.0,1.0,0.0,0.0,0.0,
,Yes,Travel_Rarely,1368.0,Research & Development,25.0,3.0,Life Sciences,1.0,119.0,1.0,Male,47.0,1.0,1,Laboratory Technician,3.0,Single,27721.0,10100.0,1.0,Y,No,12.0,3.0,3.0,80.0,0.0,1.0,2.0,2.0,1.0,0.0,0.0,1.0,2/19/2021 10:30
27.0,No,Travel_Frequently,987.0,Sales,9.0,,Life Sciences,1.0,,4.0,Male,36.0,3.0,3,Sales Executive,3.0,Single,8700.0,2257.0,1.0,Y,,15.0,3.0,4.0,80.0,,8.0,0.0,3.0,9.0,8.0,1.0,7.0,
30.0,No,Travel_Frequently,702.0,Research & Development,1.0,2.0,Medical,1.0,66.0,3.0,Female,59.0,3.0,2,LABORATORY TECHNICIAN,4.0,Single,3878.0,10244.0,1.0,Y,,23.0,4.0,4.0,80.0,0.0,12.0,2.0,3.0,12.0,8.0,3.0,7.0,
41.0,Yes,Travel_Rarely,,Research & Development,12.0,3.0,Technical Degree,1.0,44.0,2.0,Female,52.0,3.0,5,ResearchDirector,,Married,19583.0,,1.0,Y,No,12.0,,4.0,80.0,0.0,23.0,0.0,3.0,22.0,15.0,15.0,8.0,11/2/2019 10:30
,No,Non-Travel,1080.0,Sales,23.0,4.0,Marketing,1.0,69.0,2.0,Male,73.0,3.0,2,Sales Executive,3.0,Single,3921.0,9926.0,0.0,Y,No,20.0,4.0,3.0,80.0,0.0,10.0,2.0,3.0,9.0,5.0,8.0,7.0,
37.0,No,Travel_Rareln,403.0,Research & Development ,19.0,2.0,Life Sciences,1.0,34.0,2.0,Male,72.0,3.0,1,,2.0,Married,3500.0,9933.0,4.0,Y,No,21.0,4.0,1.0,80.0,0.0,8.0,1.0,3.0,2.0,0.0,0.0,0.0,
46.0,No,Travel_Frequently ,1201.0,Sales,49.0,4.0,Marketing,1.0,42.0,1.0,Male,100.0,3.0,2,Sales Executive,,Single,5795.0,20530.0,4.0,Y,Yes,21.0,,3.0,80.0,0.0,14.0,4.0,3.0,9.0,6.0,0.0,8.0,
35.0,No,Travel_Rarely,1238.0,Reselrch & Development,8.0,1.0,Life Sciences,1.0,4541.0,4.0,Male,36.0,4.0,1,Laboratory Technician,4.0,Married,2308.0,5086.0,1.0,Y,No,19.0,3.0,4.0,80.0,0.0,1.0,2.0,3.0,1.0,0.0,0.0,1.0,
48.0,Yes,Travel_Rarely,644.0,Research & Development,1.0,2.0,Life Sciences,1.0,4606.0,1.0,Male,101.0,2.0,3,laboratory technician,3.0,Single,5669.0,19419.0,9.0,Y,Yes,13.0,,4.0,80.0,0.0,23.0,2.0,3.0,2.0,0.0,0.0,0.0,5/4/2018 10:30
27.0,Yes,Travel_Rarely,1420.0,Research & Development,5.0,4.0,Technical Degree,1.0,79.0,3.0,Male,50.0,3.0,1,Laboratory Technician,3.0,Single,3469.0,11018.0,1.0,Y,Yes,13.0,3.0,,,0.0,1.0,3.0,,2.0,2.0,2.0,2.0,6/24/2019 10:30
44.0,No,Travel_Rarely,1488.0,Sales,1.0,5.0,Marketing,1.0,79.0,2.0,Female,76.0,3.0,2,Sales Executive,1.0,Divorced,5472.0,3931.0,5.0,Y,Yes,,4.0,3.0,80.0,1.0,10.0,9.0,2.0,5.0,3.0,1.0,3.0,
35.0,No, Non-Travel,1088.0,Research & Development,,2.0,Medical,1.0,16.0,3.0,Male,80.0,2.0,3,Healthcare Representative,1.0,Married,10113.0,8155.0,2.0,Y,Yes,,3.0,3.0,80.0,1.0,10.0,3.0,3.0,4.0,0.0,,3.0,
26.0,,Travel_rRarely,1422.0,Sales,23.0,3.0,Marketing,1.0,75.0,3.0,Female,46.0,2.0,2,Sales Executive,4.0,,,21781.0,7.0,Y,Yes,19.0,3.0,3.0,80.0,1.0,5.0,2.0,2.0,2.0,2.0,,0.0,
33.0,No,Travel_Frequently,501.0,Research & Development,1.0,2.0,Life Sciences,,82.0,1.0,Female,98.0,3.0,3,Research Director,4.0,Single,13459.0,15326.0,1.0,Y,Yes,12.0,3.0,3.0,,0.0,15.0,1.0,3.0,15.0,14.0,8.0,12.0,
35.0,No,Travel_Frequently,,Sales,18.0,5.0,Life Sciences,1.0,66.0,2.0,Male,71.0,3.0,3,Sales Executive,1.0,Married,9471.0,10902.0,1.0,Y,No,22.0,4.0,4.0,80.0,1.0,9.0,3.0,2.0,9.0,8.0,1.0,8.0,
35.0,No,Travel_Rarely,1147.0,Research & Development,24.0,4.0,Medical,1.0,50.0,3.0,Female,31.0,3.0,1,Laboratory Technician,1.0,Married,3730.0,15694.0,3.0,Y,Yes,15.0,3.0,3.0,80.0,1.0,3.0,3.0,3.0,2.0,2.0,,2.0,
31.0,No,Travel_Rarely,639.0,,7.0,4.0,Life Sciences,1.0,81.0,4.0,Male,49.0,3.0,2,,4.0,Divorced,5753.0,9418.0,3.0,Y,,22.0,4.0,4.0,80.0,1.0,11.0,3.0,2.0,7.0,7.0,1.0,7.0,
37.0,No,Travel_Rarely,1096.0, Research & Development,1.0,4.0,Life Sciences,1.0,47.0,1.0,Male,51.0,2.0,2,Manufacturing Director,3.0,Divorced,5992.0,3153.0,1.0,Y,No,18.0,3.0,3.0,80.0,1.0,7.0,2.0,4.0,7.0,5.0,0.0,,
32.0,No,Travel_Rarely,417.0,Research & Deveopment,0.0,3.0,Medical,1.0,99.0,1.0,Male,32.0,3.0,2,Manufacturing Director,4.0,Married,6419.0,10739.0,1.0,Y,Yes,22.0,4.0,2.0,80.0,1.0,9.0,3.0,3.0,9.0,8.0,7.0,8.0,
38.0,No,Travel_Frequently ,638.0,Research & Development,29.0,5.0,Life Sciences,1.0,2.0,4.0,Female,50.0,3.0,2,Laboratory Technician,4.0,Single,2155.0,5683.0,1.0,Y,No,11.0,3.0,4.0,80.0,0.0,10.0,2.0,3.0,11.0,3.0,9.0,9.0,
49.0,No,Travel_Rarely,1013.0,Research & Development,7.0,2.0,Medical,1.0,113.0,2.0,Female,42.0,2.0,5,Research Director,3.0,Divorced,18944.0,16545.0,5.0,Y,Yes,12.0,3.0,4.0,80.0,1.0,29.0,2.0,2.0,27.0,,13.0,8.0,
59.0,No,Travel_Rarely,1406.0,Sales,25.0,3.0,Life Sciences,1.0,77.0,1.0,Female,99.0,3.0,3,Sales Executive,1.0,Single,7456.0,2517.0,7.0,Y,No,11.0,3.0,4.0,80.0,0.0,28.0,3.0,2.0,21.0,16.0,7.0,9.0,
36.0,No,Travel_Rarely,1254.0,Research & Development,8.0,3.0,Technical Degree,1.0,22.0,3.0,Female,59.0,3.0,3,Healthcare Representative,3.0,Divorced,9693.0,8432.0,1.0,Y,No,12.0,3.0,2.0,80.0,3.0,18.0,2.0,3.0,17.0,14.0,12.0,8.0,
55.0,No,Travel_Rarely,824.0,Research & Development,7.0,3.0,Medical,1.0,83.0,4.0,Female,32.0,3.0,4,Manager,3.0,Divorced,14549.0,19739.0,2.0,Y,Yes,14.0,3.0,3.0,80.0,3.0,21.0,2.0,3.0,5.0,0.0,0.0,2.0,
36.0,No,Travel_Frequently,,Research & Development,11.0,3.0,Life Sciences,1.0,76.0,2.0,Male,94.0,,2,Manufacturing Director,2.0,Single,6259.0,22610.0,1.0,Y,No,13.0,3.0,3.0,80.0,0.0,6.0,3.0,3.0,6.0,5.0,0.0,3.0,
44.0,No,Travel_Rarely,1327.0,Research & Development,6.0,3.0,Life Sciences,1.0,58.0,2.0,Male,59.0,3.0,3,Research Scientist,1.0,Divorced,,18628.0,2.0,Y,No,17.0,3.0,3.0,80.0,1.0,25.0,2.0,3.0,1.0,0.0,0.0,0.0,
34.0,No,Travel_Frequently,703.0,Research & Development,1.0,3.0,Medical,1.0,98.0,2.0,Male,80.0,3.0,1,Research Scientist,1.0,,,6383.0,4.0,Y,No,13.0,3.0,4.0,80.0,1.0,5.0,2.0,2.0,2.0,2.0,1.0,,
36.0,Yes,Travel_Rarely,310.0,Research & Development,9.0,3.0,Medical,1.0,110.0,4.0,,78.0,2.0,1,,3.0,Married,3345.0,21734.0,0.0,Y,Yes,17.0,3.0,1.0,80.0,1.0,2.0,,2.0,2.0,,0.0,0.0,3/16/2021 10:30
59.0,No,TRAVEL_FREQUENTLY,1240.0,Sales,1.0,1.0,Life Sciences,1.0,104.0,1.0,Female,56.0,2.0,2,Sales Executive,3.0,,5615.0,24627.0,7.0,Y,No,11.0,3.0,4.0,80.0,0.0,20.0,2.0,2.0,4.0,3.0,1.0,3.0,
30.0,No,,1334.0,RESEARCH & DEVELOPMENT,2.0,3.0,Life Sciences,1.0,120.0,3.0,Male,75.0,3.0,1,Research Scientist,2.0,Married,,4562.0,0.0,Y,No,23.0,4.0,4.0,80.0,1.0,6.0,3.0,3.0,5.0,4.0,16.0,4.0,
31.0,No,TrXvel_Rarely,1094.0,Research & Development,1.0,4.0,Medical,1.0,121.0,3.0,Male,,3.0,1,,2.0,Single,2536.0,18466.0,1.0,Y,No,17.0,3.0,2.0,80.0,0.0,1.0,4.0,3.0,1.0,1.0,1.0,0.0,
32.0,No,Travel_Rarely,555.0,Research & Development,1.0,,Life Sciences,1.0,128.0,2.0,Male,64.0,3.0,2,Research Scientist,2.0,Married,5967.0,7638.0,1.0,Y,No,17.0,3.0,2.0,80.0,2.0,10.0,3.0,3.0,10.0,4.0,0.0,9.0,
36.0,No,Travel_Rarely,141.0,Research & Development,5.0,3.0,Life Sciences,1.0,56.0,2.0,Female,55.0,4.0,1,Laboratory Technician,4.0,Married,2968.0,21693.0,3.0,Y,No,12.0,3.0,2.0,,0.0,5.0,3.0,3.0,1.0,,0.0,0.0,
32.0,No,Travel_Rarely,,Research & Development,9.0,4.0,Life Sciences,1.0,127.0,3.0,Female,63.0,3.0,2,Manufacturing Director,4.0,Single,4372.0,20904.0,1.0,,No,23.0,4.0,4.0,80.0,0.0,11.0,2.0,3.0,11.0,7.0,,8.0,
36.0,No,Travel_Rarely,773.0,Sales,1.0,4.0,Marketing,1.0,116.0,3.0,Male,30.0,2.0,2,Sales Executive,1.0,Single,4620.0,23317.0,0.0,Y,No,14.0,3.0,2.0,80.0,0.0,16.0,2.0,3.0,15.0,13.0,2.0,8.0,
45.0,No,Travel_Rarely,220.0,Research & Development,6.0,,Other,1.0,88.0,4.0,Male,52.0,3.0,3,Research Director,1.0,Married,13513.0,15373.0,4.0,Y,Yes,14.0,3.0,2.0,80.0,0.0,17.0,3.0,4.0,0.0,0.0,0.0,0.0,
36.0,No,Travel_Rarely,389.0,Research & Development,7.0,4.0,Medical,1.0,93.0,1.0,Male,31.0,3.0,3,Research Director,3.0,Single,13689.0,24972.0,4.0,Y,No,13.0,3.0,1.0,80.0,0.0,16.0,3.0,4.0,5.0,2.0,0.0,2.0,
46.0,No,Travel_Rarely,,Human Resources,5.0,2.0,Medical,1.0,142.0,2.0,,81.0,3.0,2,Human Resources,2.0,Divorced,4869.0,,8.0,,Yes,22.0,4.0,4.0,80.0,1.0,15.0,2.0,3.0,3.0,2.0,,19.0,
30.0,No,Travel_Rarely,844.0,Research & Development,1.0,,Life Sciences,1.0,62.0,4.0,Male,53.0,2.0,2,Laboratory Technician,4.0,Married,4851.0,15958.0,1.0,Y,Yes,12.0,3.0,3.0,80.0,2.0,10.0,1.0,2.0,10.0,8.0,,0.0,
35.0,No,Travel_Rarely,1202.0,Research & Development,1.0,3.0,Medical,1.0,75.0,2.0,,32.0,2.0,1,Research Scientist,3.0,Single,3195.0,26365.0,1.0,Y,No,18.0,3.0,1.0,80.0,0.0,,3.0,3.0,6.0,4.0,0.0,4.0,
55.0,No,Travel_Rarely,149.0,Sales,1.0,2.0,Life Sciences,1.0,140.0,1.0,Male,70.0,3.0,3,Sales Executive,4.0,Married,10391.0,17812.0,3.0,Y,No,14.0,3.0,4.0,80.0,1.0,24.0,4.0,3.0,1.0,0.0,1.0,0.0,
39.0,No,Non-Travel,572.0,Research & Development,6.0,,Medical,1.0,185.0,2.0,Female,78.0,1.0,2,Research Scientist,4.0,Divorced,5788.0,15768.0,7.0,,Yes,12.0,3.0,4.0,80.0,3.0,17.0,3.0,3.0,13.0,11.0,1.0,9.0,
34.0,No,Travel_Rarely,1148.0,Research & Development,0.0,2.0,Medical,1.0,147.0,1.0,Male,92.0,3.0,2,Manufacturing Director,2.0,Married,4516.0,17940.0,1.0,,No,15.0,3.0,3.0,80.0,0.0,5.0,2.0,3.0,6.0,2.0,0.0,3.0,
55.0,No,Travel_Rarely,,Research & Development,7.0,3.0,Life Sciences,,129.0,4.0,Male,49.0,1.0,3,Manufacturing Director,4.0,Single,6993.0,22083.0,4.0,Y,No,11.0,3.0,1.0,80.0,0.0,37.0,,2.0,6.0,4.0,0.0,2.0,
23.0,No,Travel_Rarely,564.0,Sales,2.0,1.0,Technical Degree,1.0,71.0,3.0,Male,61.0,3.0,1,Sales Representative,1.0,Divorced,2118.0,10029.0,3.0,Y,No,13.0,3.0,3.0,80.0,1.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,
,No,Travel_Rarely,407.0,Research & Development,,4.0,Life Sciences,1.0,100.0,4.0,Male,96.0,3.0,1,Laboratory Technician,,Married,1968.0,18613.0,3.0,Y,No,22.0,4.0,2.0,80.0,2.0,11.0,4.0,3.0,4.0,2.0,0.0,3.0,
30.0,No,Travel_Rarely,279.0,RESEARCH & DEVELOPMENT,2.0,3.0,Life Sciences,1.0,120.0,3.0,Male,100.0,2.0,2,Healthcare Representative,4.0,Married,3637.0,15741.0,1.0,Y,No,19.0,3.0,1.0,,3.0,11.0,3.0,3.0,11.0,10.0,,8.0,
,,Travel_Rarely,688.0,Sales,9.0,2.0,Medical,1.0,159.0,3.0,Male,65.0,2.0,3,Sales Executive,4.0,Single,,13543.0,1.0,Y,No,16.0,3.0,4.0,80.0,0.0,9.0,3.0,3.0,9.0,8.0,4.0,7.0,2/2/2018 10:30
40.0,No,Travel_Frequently,533.0,Research&Development,1.0,4.0,Life Sciences,1.0,182.0,3.0,Male,78.0,2.0,4, Healthcare Representative,2.0,Married,13898.0,14218.0,1.0,Y,No,,,4.0,80.0,1.0,22.0,,2.0,22.0,3.0,11.0,11.0,
51.0,No,,599.0,Sales,21.0,4.0,Marketing,1.0,83.0,3.0,Male,71.0,3.0,2,Sales Executive,4.0,Single,5511.0,8578.0,0.0,Y,Yes,22.0,4.0,4.0,80.0,0.0,11.0,2.0,1.0,10.0,7.0,1.0,0.0,
